0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
161.0,-1.0,647.0,21.0,43.0,104.0,0.6435022354125977,-1.0,-1.0,-1.0,647.0,21.0,0.0,0.0,-1.0
164.0,-1.0,639.0,18.0,43.0,102.0,0.5906631946563721,-1.0,-1.0,-1.0,639.0,18.0,0.0,0.0,-1.0
165.0,-1.0,640.0,17.0,43.0,106.0,0.9809437394142151,-1.0,-1.0,-1.0,640.0,17.0,0.0,0.0,-1.0
166.0,-1.0,642.0,19.0,41.0,112.0,0.9247985482215881,-1.0,-1.0,-1.0,642.0,19.0,0.0,0.0,-1.0
167.0,-1.0,639.0,15.0,44.0,111.0,0.9454033970832825,-1.0,-1.0,-1.0,639.0,15.0,0.0,0.0,-1.0
168.0,-1.0,637.0,15.0,45.0,113.0,0.9241648316383362,-1.0,-1.0,-1.0,637.0,15.0,0.0,0.0,-1.0
169.0,-1.0,636.0,16.0,44.0,113.0,0.9718344807624817,-1.0,-1.0,-1.0,636.0,16.0,0.0,0.0,-1.0
170.0,-1.0,637.0,14.0,44.0,115.0,0.9655869603157043,-1.0,-1.0,-1.0,637.0,14.0,0.0,0.0,-1.0
171.0,-1.0,636.0,12.0,49.0,118.0,0.9754423499107361,-1.0,-1.0,-1.0,636.0,12.0,0.0,0.0,-1.0
172.0,-1.0,635.0,13.0,50.0,114.0,0.9800074696540833,-1.0,-1.0,-1.0,635.0,13.0,0.0,0.0,-1.0
173.0,-1.0,633.0,11.0,50.0,114.0,0.9766581654548645,-1.0,-1.0,-1.0,633.0,11.0,0.0,0.0,-1.0
174.0,-1.0,632.0,12.0,47.0,115.0,0.9756264686584473,-1.0,-1.0,-1.0,632.0,12.0,0.0,0.0,-1.0
175.0,-1.0,633.0,12.0,46.0,116.0,0.9636587500572205,-1.0,-1.0,-1.0,633.0,12.0,0.0,0.0,-1.0
176.0,-1.0,631.0,12.0,49.0,114.0,0.9272902607917786,-1.0,-1.0,-1.0,631.0,12.0,0.0,0.0,-1.0
177.0,-1.0,630.0,15.0,44.0,117.0,0.9816858768463135,-1.0,-1.0,-1.0,630.0,15.0,0.0,0.0,-1.0
178.0,-1.0,628.0,14.0,46.0,119.0,0.9758265614509583,-1.0,-1.0,-1.0,628.0,14.0,0.0,0.0,-1.0
179.0,-1.0,623.0,19.0,47.0,119.0,0.9741472601890564,-1.0,-1.0,-1.0,623.0,19.0,0.0,0.0,-1.0
180.0,-1.0,619.0,15.0,56.0,123.0,0.9671293497085571,-1.0,-1.0,-1.0,619.0,15.0,0.0,0.0,-1.0
181.0,-1.0,617.0,12.0,60.0,126.0,0.9718685746192932,-1.0,-1.0,-1.0,617.0,12.0,0.0,0.0,-1.0
182.0,-1.0,616.0,16.0,53.0,122.0,0.9554613828659058,-1.0,-1.0,-1.0,616.0,16.0,0.0,0.0,-1.0
183.0,-1.0,616.0,17.0,53.0,119.0,0.955429196357727,-1.0,-1.0,-1.0,616.0,17.0,0.0,0.0,-1.0
184.0,-1.0,613.0,17.0,51.0,120.0,0.9658026099205017,-1.0,-1.0,-1.0,613.0,17.0,0.0,0.0,-1.0
185.0,-1.0,612.0,17.0,52.0,121.0,0.9725852608680725,-1.0,-1.0,-1.0,612.0,17.0,0.0,0.0,-1.0
186.0,-1.0,611.0,15.0,52.0,123.0,0.9600021243095398,-1.0,-1.0,-1.0,611.0,15.0,0.0,0.0,-1.0
186.0,-1.0,661.0,12.0,49.0,104.0,0.6151744723320007,-1.0,-1.0,-1.0,661.0,12.0,0.0,0.0,-1.0
187.0,-1.0,610.0,16.0,51.0,123.0,0.9722610712051392,-1.0,-1.0,-1.0,610.0,16.0,0.0,0.0,-1.0
187.0,-1.0,656.0,7.0,46.0,111.0,0.6556451916694641,-1.0,-1.0,-1.0,656.0,7.0,0.0,0.0,-1.0
188.0,-1.0,608.0,14.0,54.0,127.0,0.9745099544525146,-1.0,-1.0,-1.0,608.0,14.0,0.0,0.0,-1.0
188.0,-1.0,660.0,8.0,47.0,113.0,0.7324157357215881,-1.0,-1.0,-1.0,660.0,8.0,0.0,0.0,-1.0
189.0,-1.0,605.0,14.0,56.0,132.0,0.9618042707443237,-1.0,-1.0,-1.0,605.0,14.0,0.0,0.0,-1.0
189.0,-1.0,659.0,8.0,47.0,111.0,0.8025444746017456,-1.0,-1.0,-1.0,659.0,8.0,0.0,0.0,-1.0
190.0,-1.0,607.0,16.0,56.0,129.0,0.9493894577026367,-1.0,-1.0,-1.0,607.0,16.0,0.0,0.0,-1.0
190.0,-1.0,660.0,12.0,46.0,110.0,0.771660566329956,-1.0,-1.0,-1.0,660.0,12.0,0.0,0.0,-1.0
191.0,-1.0,611.0,19.0,48.0,124.0,0.9442733526229858,-1.0,-1.0,-1.0,611.0,19.0,0.0,0.0,-1.0
